ablation_type,seed,accuracy,f1_macro,f1_illicit,precision_illicit,recall_illicit,bal_acc,mcc,roc_auc_macro,pr_auc_illicit,specificity,fpr,fnr,val_acc
all,42,0.9617036506800286,0.8810673918135277,0.9789973697640639,0.9690681588559882,0.9891321592892274,0.8486716514921211,0.7675665925662087,,,0.7082111436950147,0.29178885630498536,0.010867840710772647,0.9649964209019327
all,123,0.9649964209019327,0.8939262061118752,0.9807518205077741,0.9733572935385577,0.9882595589401872,0.8691297794700936,0.7907486304009845,,,0.75,0.25,0.011740441059812787,0.964638511095204
all,777,0.9554044380816035,0.8594427837276815,0.975581076314036,0.9642054699000542,0.9872283039822307,0.824259313281438,0.7260039833567463,,,0.6612903225806451,0.3387096774193548,0.012771696017769316,0.9554044380816035
all,2023,0.964638511095204,0.8903023164507264,0.9806046329014527,0.970771144278607,0.9906393780739331,0.8574897770135061,0.7860024142634149,,,0.7243401759530792,0.2756598240469208,0.009360621926066952,0.9617036506800286
all,31415,0.9554044380816035,0.8556644207691816,0.9756478911777352,0.9617014718347846,0.9900047596382675,0.8128176290859959,0.7226953755815569,,,0.6356304985337243,0.36436950146627567,0.009995240361732508,0.9554044380816035
base+basic_temporal,42,0.9657122405153902,0.8941360785098105,0.9811839572612641,0.971830985915493,0.9907187053783912,0.8626614054751194,0.7931287036649007,,,0.7346041055718475,0.2653958944281525,0.009281294621608758,0.9564781675017896
base+basic_temporal,123,0.9564781675017896,0.8618475258460102,0.9761867460441799,0.9641033575738821,0.98857686815802,0.8242004575394206,0.7319090724298316,,,0.6598240469208211,0.34017595307917886,0.01142313184198001,0.9654259126700072
base+basic_temporal,777,0.9558339298496779,0.8603798776450406,0.9758238313545707,0.9641502129307007,0.987783595113438,0.8241703899320856,0.728325877151317,,,0.6605571847507331,0.33944281524926684,0.012216404886561954,0.9559055118110236
base+basic_temporal,2023,0.9654259126700072,0.8937921355172251,0.9810163895767009,0.9721897639635428,0.9900047596382675,0.8641372771798376,0.7918524178801244,,,0.7382697947214076,0.26173020527859236,0.009995240361732508,0.9657122405153902
base+basic_temporal,31415,0.9559055118110236,0.8573411157879842,0.9759205691501838,0.9620067817509248,0.990242741551642,0.8144028957025072,0.7260202914244266,,,0.6385630498533724,0.3614369501466276,0.009757258448357925,0.9558339298496779
base+basic_temporal+typology,42,0.9595561918396565,0.8706933673260346,0.9778873625298423,0.9650830436461955,0.991036014596224,0.8298288577379946,0.7509335756164983,,,0.6686217008797654,0.3313782991202346,0.00896398540377598,0.9643521832498211
base+basic_temporal+typology,123,0.9643521832498211,0.8923179478568902,0.9803906126949126,0.9733385457388585,0.9875456132000635,0.8687728066000318,0.7872423424164255,,,0.75,0.25,0.012454386799936538,0.9661417322834646
base+basic_temporal+typology,777,0.9594846098783106,0.8721597449759084,0.9778178397868005,0.966305189775368,0.9896081231159766,0.8353465835521232,0.7518023253063755,,,0.6810850439882697,0.3189149560117302,0.01039187688402348,0.964924838940587
base+basic_temporal+typology,2023,0.9661417322834646,0.8944637068091921,0.9814386061295766,0.971111283684088,0.9919879422497223,0.8596303347612249,0.7949955920662516,,,0.7272727272727273,0.2727272727272727,0.008012057750277645,0.9595561918396565
base+basic_temporal+typology,31415,0.964924838940587,0.8914286544480801,0.9807571473452718,0.9711463680199098,0.9905600507694748,0.859282957936057,0.7879947888824274,,,0.7280058651026393,0.2719941348973607,0.009439949230525147,0.9594846098783106
base+structural,42,0.9647100930565498,0.8930585268162669,0.9805943711867743,0.9732010313305727,0.9881009043312708,0.8683173143357235,0.7890081701943491,,,0.748533724340176,0.25146627565982405,0.011899095668729176,0.9614889047959914
base+structural,123,0.9614889047959914,0.8825877956894608,0.9788372275981433,0.9708177278401997,0.9869903220688561,0.8563983868408797,0.7685681943034781,,,0.7258064516129032,0.27419354838709675,0.0130096779311439,0.967143879742305
base+structural,777,0.962992125984252,0.8862336187407237,0.9796816663391629,0.9707921177661811,0.9887355227669363,0.8569044182749638,0.7767492715478213,,,0.7250733137829912,0.2749266862170088,0.01126447723306362,0.9664280601288475
base+structural,2023,0.967143879742305,0.898923493424927,0.9819625103155578,0.972977182462425,0.9911153419006822,0.868358257460605,0.8023241193910585,,,0.7456011730205279,0.25439882697947214,0.008884658099317785,0.9647100930565498
base+structural,31415,0.9664280601288475,0.89701937535454,0.9815637407130784,0.9728824125301956,0.9904013961605584,0.8676347156755871,0.7981748103503149,,,0.7448680351906158,0.25513196480938416,0.009598603839441536,0.962992125984252
base+structural+typology,42,0.9642806012884753,0.8917570078728543,0.9803581972052745,0.9729666380185952,0.9878629224178962,0.8670986166341681,0.786397479884396,,,0.7463343108504399,0.2536656891495601,0.01213707758210376,0.9552612741589119
base+structural+typology,123,0.9552612741589119,0.8572865192253549,0.9755333724799373,0.9629801375685911,0.9884182135491036,0.8186225965106222,0.7234736458428679,,,0.6488269794721407,0.35117302052785926,0.011581786450896399,0.962705798138869
