ablation_type,seed,accuracy,f1_macro,f1_illicit,precision_illicit,recall_illicit,bal_acc,mcc,roc_auc_macro,pr_auc_illicit,specificity,fpr,fnr,val_acc
all,42,0.9547263357035684,0.7564579475880964,0.9762002743484225,0.9661281563942439,0.98648461325201,0.7163277672253391,0.5260047974319948,,,0.44617092119866814,0.5538290788013318,0.01351538674799002,0.9589014286646226
all,123,0.9589014286646226,0.7783556389871652,0.9783980249622822,0.9681731813246471,0.9888411422234544,0.7341542004125041,0.5711895557344094,,,0.4794672586015538,0.5205327413984462,0.011158857776545605,0.9589666644921391
all,777,0.9538782699458542,0.7560627152015658,0.9757319877801806,0.9665419925195512,0.9850984197393956,0.7195192431660352,0.5225685218577539,,,0.45394006659267483,0.5460599334073252,0.014901580260604381,0.9572052971491943
all,2023,0.9589666644921391,0.78270509473131,0.9784108460614381,0.9691303460936969,0.9878708067646244,0.7419931170338105,0.5769540589490106,,,0.4961154273029967,0.5038845726970034,0.012129193235375658,0.9547263357035684
all,31415,0.9572052971491943,0.7805997185622868,0.9774430919469087,0.9699058277603385,0.9850984197393956,0.747821129958488,0.5682033773516784,,,0.5105438401775805,0.4894561598224195,0.014901580260604381,0.9538782699458542
base+basic_temporal,42,0.8095766194794181,0.5661768531992672,0.891126776323151,0.9647096826294113,0.8279733850845578,0.6714783684579282,0.20472717466413742,,,0.5149833518312985,0.48501664816870144,0.1720266149154422,0.9552482223237002
base+basic_temporal,123,0.9552482223237002,0.7764594966663521,0.9763757834561609,0.9702943189596167,0.982533961741059,0.7504234736563231,0.5571612963953625,,,0.5183129855715871,0.4816870144284129,0.017466038258940948,0.9553786939787331
base+basic_temporal,777,0.9561615239089308,0.7518883875797366,0.9770162117791915,0.9644159351789332,0.9899500970335459,0.7025222183280937,0.5267528882541141,,,0.41509433962264153,0.5849056603773585,0.010049902966454118,0.8297997260095245
base+basic_temporal,2023,0.9553786939787331,0.745409965034965,0.9766153846153847,0.9636351369585751,0.9899500970335459,0.6958629508475165,0.5152172166331054,,,0.4017758046614872,0.5982241953385128,0.010049902966454118,0.8095766194794181
base+basic_temporal,31415,0.8297997260095245,0.5847178309659099,0.903744696550452,0.9661591859272699,0.8489049071250346,0.6863836411318847,0.23179723153180057,,,0.5238623751387348,0.47613762486126526,0.15109509287496534,0.9561615239089308
base+basic_temporal+typology,42,0.9545958640485355,0.7641046567654595,0.9760857614073667,0.9678386481330062,0.9844746326587192,0.7303061287599922,0.5364639105761534,,,0.47613762486126526,0.5238623751387348,0.015525367341280842,0.9593580794572379
base+basic_temporal+typology,123,0.9593580794572379,0.7874215919640186,0.9786020951399622,0.9699734459045414,0.9873856390352093,0.7489647396063949,0.5846544231854244,,,0.5105438401775805,0.4894561598224195,0.012614360964790685,0.9547915715310848
base+basic_temporal+typology,777,0.9620979842129297,0.7862029513629454,0.9801252009715048,0.9676460655184059,0.9929304130856668,0.7306494462764627,0.597142559034822,,,0.4683684794672586,0.5316315205327414,0.007069586914333241,0.9532259116706896
base+basic_temporal+typology,2023,0.9547915715310848,0.7480149141624411,0.9762793085743625,0.964428213971732,0.9884252841696701,0.7023147508528705,0.5153275094496885,,,0.416204217536071,0.5837957824639289,0.011574715830329914,0.9545958640485355
base+basic_temporal+typology,31415,0.9532259116706896,0.7526123999993248,0.9753887344248791,0.9662019721183271,0.984751871361242,0.7165712741933846,0.515550841920896,,,0.4483906770255272,0.5516093229744728,0.01524812863875797,0.9620979842129297
base+structural,42,0.9611846826276992,0.8050900703171258,0.9795159568974421,0.9731171762774472,0.985999445522595,0.7749087127723963,0.6153128075158923,,,0.5638179800221975,0.4361820199778024,0.014000554477405046,0.9596190227673038
base+structural,123,0.9596190227673038,0.7898181407061702,0.9787336379565053,0.9703658287349275,0.9872470196839479,0.7522250636710528,0.5888148910990589,,,0.5172031076581576,0.4827968923418424,0.01275298031605212,0.956879118011612
base+structural,777,0.948724639572053,0.7641116091775795,0.9727933541017653,0.9716498409625225,0.97393956196285,0.7594448087283728,0.5283439222078044,,,0.5449500554938956,0.4550499445061043,0.026060438037149986,0.9562267597364472
base+structural,2023,0.956879118011612,0.7881824843426501,0.9772139680788721,0.9720869624854263,0.9823953423897976,0.7653375158119909,0.5793615413172996,,,0.5482796892341842,0.45172031076581576,0.017604657610202384,0.9611846826276992
base+structural,31415,0.9562267597364472,0.7878870916702488,0.9768500948766603,0.9725218108126674,0.9812170779040754,0.7686329562661331,0.5778434013783843,,,0.5560488346281909,0.4439511653718091,0.01878292209592459,0.948724639572053
base+structural+typology,42,0.9542044490834366,0.7654963886172144,0.9758596973865199,0.9684002184002184,0.9834349875242584,0.7347807568031947,0.537545421136947,,,0.48612652608213097,0.5138734739178691,0.016565012475741613,0.9560962880814143
base+structural+typology,123,0.9560962880814143,0.7815865697006127,0.9768178843305432,0.9709648702321441,0.9827418907679512,0.7560768277369168,0.5671218580014881,,,0.5294117647058824,0.47058823529411764,0.017258109232048794,0.9581838345619414
base+structural+typology,777,0.9544653923935025,0.7811995003819935,0.9759061097687263,0.9720808692064365,0.9797615747158304,0.7645755709317221,0.5639567039243029,,,0.5493895671476138,0.4506104328523862,0.02023842528416967,0.9498988844673495
