ablation_type,seed,accuracy,f1_macro,f1_illicit,precision_illicit,recall_illicit,bal_acc,mcc,roc_auc_macro,pr_auc_illicit,specificity,fpr,fnr,val_acc
all,42,0.9545454545454546,0.8551127418192339,0.9751399600673374,0.9626652237767643,0.9879422497223544,0.8169183389374235,0.7189625240895413,,,0.6458944281524927,0.35410557184750735,0.012057750277645565,0.9520400858983536
all,123,0.9520400858983536,0.8492323104280617,0.9737316709793774,0.9626356589147287,0.9850864667618594,0.815857016372132,0.7050657474422805,,,0.6466275659824047,0.3533724340175953,0.014913533238140568,0.9579813886900501
all,777,0.9565497494631353,0.8659442018443404,0.9761539972500491,0.966923495991906,0.9855624305886086,0.8369894264379993,0.7363844953103246,,,0.6884164222873901,0.31158357771260997,0.014437569411391401,0.9547602004294917
all,2023,0.9579813886900501,0.8681544440635576,0.9769812948511823,0.9660333462582397,0.988180231635729,0.8335329310671313,0.7429329955308713,,,0.6788856304985337,0.32111436950146627,0.011819768364270983,0.9545454545454546
all,31415,0.9547602004294917,0.8571458989878358,0.975233168743632,0.9636771995043371,0.9870696493733143,0.8216140035722876,0.7216409839947534,,,0.656158357771261,0.34384164222873903,0.012930350626685705,0.9565497494631353
base+basic_temporal,42,0.9559770937723694,0.8610404195751059,0.975898420660736,0.9643714661916195,0.9877042678089798,0.8252304330247244,0.7294391839226236,,,0.6627565982404692,0.33724340175953077,0.01229573219102015,0.9521832498210451
base+basic_temporal,123,0.9521832498210451,0.8487825647948097,0.9738265026251861,0.9621399814183957,0.9858004125019831,0.8136480068375018,0.7049917595034942,,,0.6414956011730205,0.3585043988269795,0.014199587498016817,0.960486757337151
base+basic_temporal,777,0.9553328561202576,0.8577838684416601,0.9755677368833203,0.963197773310654,0.9882595589401872,0.819642975951032,0.7241769402731713,,,0.6510263929618768,0.3489736070381232,0.011740441059812787,0.9589119541875447
base+basic_temporal,2023,0.960486757337151,0.8763366379122056,0.9783478465521299,0.9676443202979516,0.9892908138981438,0.841786169412415,0.7590561841367925,,,0.6942815249266863,0.3057184750733138,0.010709186101856259,0.9559770937723694
base+basic_temporal,31415,0.9589119541875447,0.8726306328698289,0.9774619129888488,0.9677344114445654,0.9873869585911471,0.8415673795888288,0.750374535197516,,,0.6957478005865103,0.30425219941348974,0.012613041408852927,0.9553328561202576
base+basic_temporal+typology,42,0.9565497494631353,0.8637632832280946,0.9761951449076435,0.9653300240440549,0.9873076312866889,0.8297975106580071,0.7339869906713306,,,0.6722873900293255,0.3277126099706745,0.012692368713311121,0.9550465282748747
base+basic_temporal+typology,123,0.9550465282748747,0.8591021800685303,0.9753706173033179,0.9645516599441514,0.9864350309376487,0.825695521333927,0.7245495481693605,,,0.6649560117302052,0.3350439882697947,0.013564969062351261,0.9581245526127415
base+basic_temporal+typology,777,0.9550465282748747,0.8596217495179256,0.9753609541745135,0.9649122807017544,0.9860383944153578,0.8273300476475616,0.7251128656059802,,,0.6686217008797654,0.3313782991202346,0.013961605584642234,0.9565497494631353
base+basic_temporal+typology,2023,0.9581245526127415,0.8696658332724518,0.9770399152243023,0.9669074807737125,0.9873869585911471,0.8375351215243125,0.7449062239057912,,,0.6876832844574781,0.312316715542522,0.012613041408852927,0.9565497494631353
base+basic_temporal+typology,31415,0.9565497494631353,0.8638641377969214,0.9761932776405067,0.9654022186021255,0.9872283039822307,0.8301244159207342,0.7340902425394623,,,0.6730205278592375,0.32697947214076245,0.012771696017769316,0.9550465282748747
base+structural,42,0.9550465282748747,0.8592064375683333,0.9753686852839661,0.9646237393328161,0.9863557036331906,0.8260224265966539,0.7246611374819731,,,0.6656891495601173,0.3343108504398827,0.013644296366809456,0.950536864710093
base+structural,123,0.950536864710093,0.8431648369444893,0.9729327431548435,0.960999767855761,0.9851657940663177,0.807832163895329,0.6940405006795772,,,0.6304985337243402,0.36950146627565983,0.014834205933682374,0.9547602004294917
base+structural,777,0.9517537580529707,0.8458059920248262,0.9736203522504893,0.9609085290482077,0.9866730128510233,0.8078526354577698,0.7005849048186692,,,0.6290322580645161,0.3709677419354839,0.013326987148976678,0.9544738725841088
base+structural,2023,0.9547602004294917,0.8553047537835283,0.9752661239824671,0.9624594469334157,0.9884182135491036,0.8160566141059301,0.7199012634784987,,,0.6436950146627566,0.3563049853372434,0.011581786450896399,0.9550465282748747
