ablation_type,seed,accuracy,f1_macro,f1_illicit,precision_illicit,recall_illicit,bal_acc,mcc,roc_auc_macro,pr_auc_illicit,specificity,fpr,fnr,val_acc
all,42,0.9519864309478766,0.7215331642314334,0.9748582359773178,0.961134312272666,0.9889797615747158,0.6742901027629405,0.4693425087973552,,,0.35960044395116536,0.6403995560488346,0.011020238425284169,0.9525735533955249
all,123,0.9525735533955249,0.6989144265577106,0.9752712677301949,0.9575846636831207,0.9936235098419739,0.6444255174071135,0.4498549167883379,,,0.2952275249722531,0.704772475027747,0.00637649015802606,0.9505512427425142
all,777,0.9483984604344706,0.7073636733179118,0.9729489415546664,0.960305137379329,0.9859301358469642,0.6666609613752024,0.43469333208727357,,,0.34739178690344064,0.6526082130965594,0.014069864153035764,0.9506164785700306
all,2023,0.9505512427425142,0.7042369671527755,0.9741455760965959,0.9590329079919409,0.9897421680066537,0.6563583204073224,0.4409982292071026,,,0.32297447280799113,0.6770255271920089,0.010257831993346272,0.9519864309478766
all,31415,0.9506164785700306,0.7065076719793577,0.9741717561158688,0.9593441300987837,0.9894649293041309,0.6589943958396348,0.44404011802421645,,,0.32852386237513875,0.6714761376248612,0.010535070695869144,0.9483984604344706
base+basic_temporal,42,0.9536825624633049,0.7287549072189203,0.9757579896203223,0.9615746971736204,0.9903659550873302,0.6783128332595363,0.48705973999432867,,,0.3662597114317425,0.6337402885682575,0.009634044912669809,0.9534868549807555
base+basic_temporal,123,0.9534868549807555,0.7163358096298247,0.9757028454591924,0.959710397533016,0.9922373163293596,0.6626003451791083,0.4729634369127858,,,0.33296337402885684,0.6670366259711432,0.007762683670640421,0.9525083175680084
base+basic_temporal,777,0.9513340726727119,0.7089192315250272,0.9745548809605021,0.9594358629952988,0.990158026060438,0.6598958831745031,0.4509756893894046,,,0.32963374028856823,0.6703662597114317,0.009841973939561963,0.951073129362646
base+basic_temporal,2023,0.9525083175680084,0.7203210573970396,0.9751501911523758,0.9607210115684692,0.9900194067091767,0.6709253526331677,0.47078780392751185,,,0.3518312985571587,0.6481687014428413,0.0099805932908234,0.9536825624633049
base+basic_temporal,31415,0.951073129362646,0.7200872230782671,0.9743624803445683,0.9612842304060434,0.9878014970889937,0.6753657873902238,0.46306753799246364,,,0.36293007769145397,0.6370699223085461,0.012198502911006376,0.9513340726727119
base+basic_temporal+typology,42,0.9535520908082719,0.7302421843193448,0.9756797376690804,0.9618803879310345,0.9898807873579152,0.6808449441784027,0.4879724600483039,,,0.37180910099889014,0.6281908990011099,0.010119212642084836,0.952182138430426
base+basic_temporal+typology,123,0.952182138430426,0.7236193279876706,0.974956438552735,0.9613907418637558,0.9889104518990851,0.6764752037519843,0.47286552954099637,,,0.36403995560488345,0.6359600443951166,0.011089548100914887,0.9515297801552612
base+basic_temporal+typology,777,0.9536825624633049,0.7295076157260911,0.9757546783226335,0.9616989768443727,0.9902273357360688,0.6793534014973351,0.48789184593443796,,,0.36847946725860153,0.6315205327413984,0.009772664263931245,0.9493769978472177
base+basic_temporal+typology,2023,0.9515297801552612,0.7209965438881619,0.974609575231521,0.9612403100775194,0.9883559744940393,0.6750880871360319,0.46638524927407543,,,0.36182019977802443,0.6381798002219756,0.011644025505960632,0.9535520908082719
base+basic_temporal+typology,31415,0.9493769978472177,0.7202297223357425,0.9734264776385179,0.9620278868282117,0.9850984197393956,0.6812284551527167,0.45637968837766246,,,0.37735849056603776,0.6226415094339622,0.014901580260604381,0.9536825624633049
base+structural,42,0.9519211951203601,0.7258682765470243,0.9748025573523881,0.9618784157614196,0.9880787357915165,0.6804988573519181,0.4743504371430675,,,0.3729189789123196,0.6270810210876804,0.011921264208483504,0.9493769978472177
