ablation_type,seed,accuracy,f1_macro,f1_illicit,precision_illicit,recall_illicit,bal_acc,mcc,roc_auc_macro,pr_auc_illicit,specificity,fpr,fnr,val_acc
all,42,0.966142605518951,0.8269387980445038,0.9821508408707913,0.9747423032288893,0.989672858331023,0.7895090151810498,0.6614531730278647,,,0.5893451720310766,0.41065482796892344,0.01032714166897699,0.9615760975927979
all,123,0.9615760975927979,0.808402971704004,0.9797141381091786,0.9737112343397002,0.9857915164957028,0.7797991988693831,0.6212877794198924,,,0.5738068812430632,0.4261931187569367,0.0142084835042972,0.9686215669645769
all,777,0.9682953878269945,0.832418814420699,0.9833173142935604,0.974088683351469,0.9927224840587746,0.7849294995210632,0.6777587256788759,,,0.5771365149833518,0.42286348501664817,0.007277515941225395,0.9650988322786874
all,2023,0.9686215669645769,0.8384499244872569,0.9834645398604284,0.9756496828320033,0.9914056002217909,0.7975895925637256,0.6857142404030375,,,0.6037735849056604,0.39622641509433965,0.008594399778209038,0.966142605518951
all,31415,0.9650988322786874,0.8257660241904132,0.9815752316010607,0.9754945581490861,0.9877321874133629,0.7951979472027968,0.6563451770510526,,,0.6026637069922308,0.3973362930077691,0.012267812586637094,0.9682953878269945
base+basic_temporal,42,0.9678387370343793,0.8328056165405957,0.9830613296684418,0.9747223547046399,0.9915442195730524,0.7898897568453498,0.6757497333131872,,,0.5882352941176471,0.4117647058823529,0.008455780426947602,0.9689477461021593
base+basic_temporal,123,0.9689477461021593,0.834426806549911,0.9836684279146367,0.973977442587308,0.9935542001663432,0.7842354796614179,0.6834846120068359,,,0.5749167591564928,0.42508324084350724,0.0064457998336567785,0.966012133863918
base+basic_temporal,777,0.9665340204840498,0.8272856826115303,0.9823668923796102,0.9744289123764064,0.990435264762961,0.787115523613445,0.6634788129456735,,,0.5837957824639289,0.416204217536071,0.009564735237039091,0.9670559071041817
base+basic_temporal,2023,0.966012133863918,0.8222257614979995,0.9821054439292461,0.9734459045414312,0.9909204324923759,0.7790340231274311,0.6552673928789802,,,0.5671476137624861,0.4328523862375139,0.009079567507624065,0.9678387370343793
base+basic_temporal,31415,0.9670559071041817,0.8303892138587624,0.9826394857162501,0.9748311847759361,0.9905738841142223,0.7905144670293642,0.6694115387871808,,,0.5904550499445061,0.4095449500554939,0.009426115885777655,0.9665340204840498
base+basic_temporal+typology,42,0.9667297279665993,0.8219300350737555,0.9825054884742042,0.9726297201847324,0.9925838647075131,0.7726515327977077,0.6587381409353453,,,0.5527192008879024,0.44728079911209767,0.0074161352924868315,0.967251614586731
base+basic_temporal+typology,123,0.967251614586731,0.8264706418258008,0.9827704557935201,0.9734158281207506,0.9923066260049903,0.7791721809270235,0.6661085169354881,,,0.5660377358490566,0.4339622641509434,0.007693373995009703,0.9674473220692804
base+basic_temporal+typology,777,0.9676430295518299,0.8252771093595889,0.98299389700336,0.9726557199077215,0.9935542001663432,0.7731367005271228,0.6673635770268306,,,0.5527192008879024,0.44728079911209767,0.0064457998336567785,0.9624893991780286
base+basic_temporal+typology,2023,0.9674473220692804,0.8309768398811495,0.9828540013057073,0.9745826235093696,0.9912669808705296,0.7886412595806588,0.6718555976685179,,,0.586015538290788,0.413984461709212,0.008733019129470474,0.9667297279665993
base+basic_temporal+typology,31415,0.9624893991780286,0.8202573344267767,0.980148455031935,0.9764738254110201,0.9838508455780427,0.8021362995925729,0.6420936542654911,,,0.6204217536071032,0.3795782463928968,0.016149154421957305,0.9676430295518299
base+structural,42,0.9667297279665993,0.8254433919461552,0.9824862637362637,0.9736591342227062,0.9914749098974217,0.7809760787000982,0.662299808037632,,,0.5704772475027747,0.4295227524972253,0.00852509010257832,0.966012133863918
base+structural,123,0.966012133863918,0.8224436930665323,0.982104214612029,0.9735103847463398,0.9908511228167453,0.7795543072463305,0.6555136459756699,,,0.5682574916759157,0.43174250832408434,0.009148877183254783,0.9687520386196099
base+structural,777,0.9668601996216322,0.8239580309676696,0.982566918325326,0.9730831973898858,0.9922373163293596,0.7763628313056343,0.661449437060979,,,0.560488346281909,0.43951165371809103,0.007762683670640421,0.9676430295518299
base+structural,2023,0.9687520386196099,0.8313728309113597,0.9835762043545345,0.9732645721652983,0.994108677571389,0.7784083898400784,0.6796923492723043,,,0.562708102108768,0.43729189789123196,0.005891322428611034,0.9667297279665993
base+structural,31415,0.9676430295518299,0.828544697899596,0.9829763866007688,0.9736197987489802,0.9925145550318825,0.7809409623106138,0.6703288527164177,,,0.5693673695893452,0.4306326304106548,0.00748544496811755,0.9668601996216322
base+structural+typology,42,0.9681649161719617,0.8306773366478288,0.983254409443415,0.9736985184178334,0.9929997227612974,0.7817384851320361,0.6753652321560284,,,0.5704772475027747,0.4295227524972253,0.007000277238702523,0.965033596451171
base+structural+typology,123,0.965033596451171,0.8183334713021354,0.9815832875206157,0.9732897247206324,0.9900194067091767,0.7774736323224019,0.6463336024920576,,,0.564927857935627,0.43507214206437295,0.0099805932908234,0.967251614586731
base+structural+typology,777,0.9680996803444452,0.8319061838628854,0.9832114532907611,0.97414790121777,0.9924452453562518,0.7853458191265166,0.6761651792509842,,,0.5782463928967814,0.42175360710321863,0.007554754643748267,0.967251614586731
base+structural+typology,2023,0.967251614586731,0.827116437777574,0.9827669069687607,0.9736090327846552,0.9920986969780982,0.7807330332837217,0.6667560983119948,,,0.5693673695893452,0.4306326304106548,0.007901303021901857,0.9681649161719617
base+structural+typology,31415,0.967251614586731,0.824058394494364,0.9827834556553947,0.9727087576374746,0.9930690324369282,0.77344905561913,0.6638303453234103,,,0.5538290788013318,0.44617092119866814,0.006930967563071805,0.9680996803444452
base+typology,42,0.9682953878269945,0.829450378282154,0.9833333333333333,0.9731876187890307,0.9936928195176047,0.7776455218564716,0.6751000038283917,,,0.5615982241953386,0.4384017758046615,0.006307180482395342,0.966012133863918
base+typology,123,0.966012133863918,0.8213483393639535,0.9821103595096659,0.973188159237836,0.9911976711948988,0.7769528866518334,0.6542924816696598,,,0.562708102108768,0.43729189789123196,0.008802328805101192,0.9666644921390828
base+typology,777,0.9658816622088852,0.8239189317852444,0.9820231670848658,0.9740879645414252,0.9900887163848073,0.7841675546407944,0.6566665203536218,,,0.5782463928967814,0.42175360710321863,0.009911283615192681,0.9671863787592145
base+typology,2023,0.9666644921390828,0.8216931554043351,0.9824705841995128,0.9726278611695985,0.9925145550318825,0.7726168779598924,0.6581330940741298,,,0.5527192008879024,0.44728079911209767,0.00748544496811755,0.9682953878269945
base+typology,31415,0.9671863787592145,0.8247052500371653,0.982743833407664,0.9729637932205693,0.9927224840587746,0.7754955372569123,0.6640328736573382,,,0.55826859045505,0.44173140954495005,0.007277515941225395,0.9658816622088852
