Model-Split,Ablation,Type,Time,Count
GAT-Randomsplit,all,FN,1,42
GAT-Randomsplit,all,FN,2,1
GAT-Randomsplit,all,FN,3,1
GAT-Randomsplit,all,FN,4,53
GAT-Randomsplit,all,FN,5,3
GAT-Randomsplit,all,FN,6,50
GAT-Randomsplit,all,FN,8,9
GAT-Randomsplit,all,FN,9,5
GAT-Randomsplit,all,FN,10,3
GAT-Randomsplit,all,FN,11,19
GAT-Randomsplit,all,FN,13,2
GAT-Randomsplit,all,FN,14,34
GAT-Randomsplit,all,FN,19,2
GAT-Randomsplit,all,FN,20,3
GAT-Randomsplit,all,FN,21,6
GAT-Randomsplit,all,FN,25,3
GAT-Randomsplit,all,FN,26,1
GAT-Randomsplit,all,FN,29,5
GAT-Randomsplit,all,FN,31,3
GAT-Randomsplit,all,FN,32,1
GAT-Randomsplit,all,FN,33,3
GAT-Randomsplit,all,FN,34,4
GAT-Randomsplit,all,FN,35,4
GAT-Randomsplit,all,FN,36,14
GAT-Randomsplit,all,FN,37,2
GAT-Randomsplit,all,FN,38,8
GAT-Randomsplit,all,FN,39,4
GAT-Randomsplit,all,FN,40,13
GAT-Randomsplit,all,FN,41,237
GAT-Randomsplit,all,FN,42,9
GAT-Randomsplit,all,FN,43,4
GAT-Randomsplit,all,FN,44,3
GAT-Randomsplit,all,FN,45,2
GAT-Randomsplit,all,FN,46,13
GAT-Randomsplit,all,FN,47,2
GAT-Randomsplit,all,FN,48,122
GAT-Randomsplit,all,FP,1,128
GAT-Randomsplit,all,FP,2,4
GAT-Randomsplit,all,FP,3,5
GAT-Randomsplit,all,FP,4,155
GAT-Randomsplit,all,FP,5,10
GAT-Randomsplit,all,FP,6,164
GAT-Randomsplit,all,FP,7,6
GAT-Randomsplit,all,FP,8,22
GAT-Randomsplit,all,FP,9,12
GAT-Randomsplit,all,FP,10,22
GAT-Randomsplit,all,FP,11,57
GAT-Randomsplit,all,FP,12,2
GAT-Randomsplit,all,FP,13,9
GAT-Randomsplit,all,FP,14,90
GAT-Randomsplit,all,FP,15,1
GAT-Randomsplit,all,FP,16,1
GAT-Randomsplit,all,FP,17,2
GAT-Randomsplit,all,FP,18,2
GAT-Randomsplit,all,FP,19,1
GAT-Randomsplit,all,FP,20,13
GAT-Randomsplit,all,FP,21,5
GAT-Randomsplit,all,FP,22,5
GAT-Randomsplit,all,FP,23,2
GAT-Randomsplit,all,FP,24,6
GAT-Randomsplit,all,FP,25,4
GAT-Randomsplit,all,FP,26,5
GAT-Randomsplit,all,FP,27,2
GAT-Randomsplit,all,FP,29,15
GAT-Randomsplit,all,FP,30,1
GAT-Randomsplit,all,FP,31,5
GAT-Randomsplit,all,FP,32,3
GAT-Randomsplit,all,FP,33,7
GAT-Randomsplit,all,FP,34,10
GAT-Randomsplit,all,FP,35,11
GAT-Randomsplit,all,FP,36,47
GAT-Randomsplit,all,FP,37,15
GAT-Randomsplit,all,FP,38,22
GAT-Randomsplit,all,FP,39,19
GAT-Randomsplit,all,FP,40,40
GAT-Randomsplit,all,FP,41,699
GAT-Randomsplit,all,FP,42,31
GAT-Randomsplit,all,FP,43,19
GAT-Randomsplit,all,FP,44,6
GAT-Randomsplit,all,FP,45,7
GAT-Randomsplit,all,FP,46,38
GAT-Randomsplit,all,FP,47,16
GAT-Randomsplit,all,FP,48,328
GAT-Randomsplit,base+basic_temporal,FN,1,48
GAT-Randomsplit,base+basic_temporal,FN,2,1
GAT-Randomsplit,base+basic_temporal,FN,3,1
GAT-Randomsplit,base+basic_temporal,FN,4,56
GAT-Randomsplit,base+basic_temporal,FN,5,3
GAT-Randomsplit,base+basic_temporal,FN,6,48
GAT-Randomsplit,base+basic_temporal,FN,8,10
GAT-Randomsplit,base+basic_temporal,FN,9,4
GAT-Randomsplit,base+basic_temporal,FN,10,5
GAT-Randomsplit,base+basic_temporal,FN,11,21
GAT-Randomsplit,base+basic_temporal,FN,13,2
GAT-Randomsplit,base+basic_temporal,FN,14,35
GAT-Randomsplit,base+basic_temporal,FN,15,1
GAT-Randomsplit,base+basic_temporal,FN,17,1
GAT-Randomsplit,base+basic_temporal,FN,19,1
GAT-Randomsplit,base+basic_temporal,FN,20,2
GAT-Randomsplit,base+basic_temporal,FN,21,5
GAT-Randomsplit,base+basic_temporal,FN,25,3
GAT-Randomsplit,base+basic_temporal,FN,26,1
GAT-Randomsplit,base+basic_temporal,FN,29,3
GAT-Randomsplit,base+basic_temporal,FN,31,3
GAT-Randomsplit,base+basic_temporal,FN,32,1
GAT-Randomsplit,base+basic_temporal,FN,33,3
GAT-Randomsplit,base+basic_temporal,FN,34,3
GAT-Randomsplit,base+basic_temporal,FN,35,3
